seed,variant,test_pid_cross_entropy,test_pid_accuracy,selected_epoch,min_total_loss_epoch,min_pid_cross_entropy_epoch,feature_count,target_count,trained_epochs,correct_mae_unweighted_pi_minus,correct_mae_weighted_pi_minus,weighted_bin_tv_pi_minus,correct_mae_unweighted_pi_plus,correct_mae_weighted_pi_plus,weighted_bin_tv_pi_plus,correct_mae_unweighted_proton,correct_mae_weighted_proton,weighted_bin_tv_proton,macro_correct_mae_unweighted,macro_correct_mae_weighted,macro_weighted_bin_tv,mean_w1_delta_p,mean_w1_delta_theta,mean_w1_delta_phi,mean_beta_w1
20260827,A_original,1.006827662144898,0.6761083277596194,30,12,30,4,3,30,0.015264028367032612,0.014450215273797768,0.03192621197612813,0.017731211053010492,0.015031962909123838,0.03630743923342525,0.023469601814626713,0.0163979158843893,0.024936567481618616,0.01882161374488994,0.015293364689103634,0.031056739563723998,0.054537189503510795,0.0022945789775500693,0.01667419696847598,
20260827,B_beta_input,1.0066629709136372,0.676613116947035,30,27,30,5,3,30,0.01534985245663741,0.014445900843491729,0.032206725521769744,0.020169000745977224,0.013963940049402438,0.03612963165130088,0.024393450182078343,0.017050698323559613,0.026070075069930414,0.01997076779489766,0.01515351307215126,0.03146881074766702,0.04860658446947733,0.0018909220428516467,0.013497130324443182,
20260827,C_beta_target,1.0167254162837243,0.6771557653235067,29,29,29,4,4,30,0.020408349958563943,0.018444186584549854,0.05135823210508676,0.022764110421523376,0.017673052111959794,0.05206419083221312,0.028538014115816437,0.023666279433811933,0.029000713434814144,0.023903491498634587,0.01992783937677386,0.044141045457371346,0.04719972486297289,0.0027677097047368684,0.015558152459561825,0.005145774513394993
20260827,D_input_target_pid02,1.0098836234098454,0.6772062442422483,30,28,30,5,4,30,0.019088995276631975,0.015746511439238726,0.03844293111893199,0.01684645514193252,0.014342941837480095,0.049932016976031855,0.028033264860994476,0.021990191824836205,0.02875355426781414,0.021322905093186323,0.017359881700518342,0.039042834120926,0.045138792445262275,0.0022639445572470627,0.015402383171021938,0.006885297859923617
20260827,A_original_pid1,0.9945966894013037,0.6774144697820572,30,22,30,4,3,30,0.00888684244511101,0.006686549526350686,0.023700972321227025,0.01237389363087228,0.011516166081837793,0.030214358427850002,0.020140921311148165,0.01646768356847231,0.023484304689492464,0.013800552462377153,0.011556799725553596,0.025799878479523166,0.03987328397730986,0.0028065035973365107,0.01908089593052864,
20260827,B_beta_input_pid1,0.9955408758198004,0.6774460191062708,29,29,29,5,3,30,0.02194949858295235,0.01646211010970539,0.030093076206526133,0.01154012197645963,0.011156690976541357,0.031111027128034617,0.018735698287569397,0.015370355419540885,0.022897456541329943,0.01740843961566046,0.014329718835262543,0.028033853291963562,0.02990352672835191,0.0028336266987025738,0.018487425210575264,
20260827,D_input_target_pid1,0.9928079050866071,0.6773324415391022,30,22,30,5,4,30,0.01155176421232947,0.0093977723086175,0.023405622474518533,0.011179681954848388,0.008342189412675189,0.02929900027059368,0.013994731064982375,0.012454319612063282,0.019143500601594084,0.012242059077386744,0.01006476044445199,0.023949374448902102,0.061098613465825714,0.0024687425078203282,0.015085572221626839,0.006016335176526742
20260828,A_original,1.0153988418099682,0.6770295680266528,30,24,30,4,3,30,0.01777687695190077,0.013567635739649767,0.041189650976844974,0.015168342206912563,0.01531296378649792,0.03533042085465398,0.011715710929452148,0.010830497513373475,0.03436737935248922,0.014886976696088494,0.013237032346507055,0.03696248372799606,0.05853846048315366,0.002632140570009748,0.017039353648821514,
20260828,B_beta_input,1.0142421170429217,0.6770926666750798,30,30,30,5,3,30,0.025429574799225356,0.022918574516035104,0.04942637453578975,0.015173268192429448,0.013399100148375871,0.03396981511688081,0.01358272746281654,0.013314084028805663,0.035411056790960974,0.018061856818157113,0.016543919564405547,0.03960241548121051,0.0557741733888785,0.002989039601137241,0.016561391142507393,
20260828,C_beta_target,1.0124438436704315,0.6768150326220013,30,18,30,4,4,30,0.012492526737596685,0.011902175335509985,0.03725371487189073,0.018546897620937,0.01759888364298891,0.039472679599621245,0.013460285136964336,0.014806315872063536,0.03322222372633392,0.01483323649849934,0.014769124950187479,0.036649539399281963,0.04731485992670059,0.0019152028253301978,0.014513758632043997,0.004639903372716239
20260828,D_input_target_pid02,1.0095546993399207,0.6767961030274732,30,26,30,5,4,30,0.01695370028413689,0.014700332106937558,0.03716735266962328,0.019108591592959318,0.017640721958518926,0.03888083390946022,0.015125191594393104,0.01677531397096757,0.03329651610973401,0.017062494490496436,0.016372122678808016,0.03644823422960584,0.054303787648677826,0.0018463142914697528,0.01571906916797161,0.004587716355477984
20260828,A_original_pid1,0.9933547818056423,0.677483878295327,30,29,30,4,3,30,0.013779607607161582,0.011994055623445908,0.02549499408554282,0.01279396539259959,0.010973414620285801,0.02636233419967777,0.008953975530634086,0.008473799619349433,0.01813250324329229,0.01184251617679842,0.010480423287693713,0.023329943842837625,0.04170776220659415,0.0019650844236214957,0.012450733687728643,
20260828,B_beta_input_pid1,0.9936607439438152,0.6773135119445741,30,28,30,5,3,30,0.00980695285995096,0.006832299447884538,0.021586652713145915,0.01164009718567134,0.00902756688426798,0.024975017549450744,0.009850735109170197,0.00899017632878883,0.019118395893727307,0.010432595051597498,0.008283347553647116,0.02189335538544132,0.04252303640047709,0.0018789215246215463,0.012700355922182402,
20260828,D_input_target_pid1,0.9956261183252707,0.6772504132961472,30,23,30,5,4,30,0.012897252606082063,0.010723587999616358,0.026186658147176318,0.01549587769425966,0.012304963163240696,0.031562817832226954,0.012321930353118984,0.011673047380643085,0.022815922996454175,0.013571686884486902,0.011567199514500047,0.026855132991952482,0.043662105376521744,0.001779219329667588,0.0139436653504769,0.005297019306090838
